iter	Passed	Remaining
0	26	269021
1	27	139892
2	28	96616
3	30	75005
4	31	62122
5	32	53477
6	33	47259
7	34	42617
8	35	39032
9	36	36174
10	37	33821
11	38	31883
12	39	30222
13	40	28780
14	41	27516
15	42	26451
16	43	25452
17	44	24605
18	45	23858
19	46	23159
20	47	22537
21	48	21977
22	49	21483
23	50	21004
24	51	20577
25	52	20181
26	53	19835
27	54	19491
28	55	19190
29	56	18920
30	57	18646
31	59	18401
32	60	18146
33	61	17942
34	62	17721
35	63	17534
36	64	17341
37	65	17164
38	66	17018
39	67	16867
40	68	16714
41	69	16560
42	70	16424
43	71	16290
44	73	16161
45	73	15996
46	75	15893
47	76	15780
48	77	15660
49	78	15555
50	79	15454
51	80	15352
52	81	15256
53	82	15165
54	83	15080
55	84	15002
56	85	14912
57	86	14827
58	87	14767
59	88	14696
60	89	14639
61	90	14576
62	91	14506
63	93	14454
64	94	14390
65	95	14326
66	96	14280
67	97	14243
68	98	14192
69	99	14137
70	100	14088
71	101	14044
72	102	13995
73	103	13946
74	105	13904
75	106	13866
76	107	13817
77	108	13775
78	109	13725
79	110	13683
80	111	13642
81	112	13602
82	113	13560
83	114	13529
84	115	13519
85	117	13509
86	118	13491
87	119	13469
88	120	13437
89	121	13402
90	122	13371
91	123	13339
92	124	13308
93	126	13278
94	127	13245
95	128	13216
96	129	13187
97	130	13157
98	131	13125
99	132	13090
100	133	13062
101	134	13030
102	135	13001
103	136	12974
104	137	12952
105	138	12925
106	139	12919
107	140	12902
108	142	12887
109	143	12869
110	144	12851
111	145	12830
112	146	12807
113	147	12784
114	148	12772
115	149	12750
116	150	12730
117	151	12715
118	152	12694
119	153	12672
120	155	12661
121	156	12650
122	157	12631
123	158	12616
124	159	12598
125	160	12582
126	161	12566
127	162	12549
128	163	12536
129	164	12524
130	166	12517
131	167	12503
132	168	12493
133	169	12479
134	170	12461
135	171	12447
136	172	12432
137	173	12416
138	174	12406
139	175	12393
140	177	12379
141	178	12361
142	179	12347
143	180	12332
144	181	12319
145	182	12310
146	183	12297
147	184	12286
148	185	12272
149	187	12286
150	188	12282
151	189	12274
152	190	12272
153	191	12264
154	193	12267
155	194	12262
156	195	12253
157	196	12250
158	198	12256
159	199	12253
160	200	12253
161	201	12250
162	202	12242
163	203	12233
164	205	12224
165	206	12213
166	207	12201
167	208	12192
168	209	12180
169	210	12167
170	211	12155
171	212	12146
172	213	12135
173	214	12123
174	215	12116
175	216	12105
176	217	12094
177	219	12085
178	220	12075
179	221	12064
180	222	12054
181	223	12045
182	224	12038
183	225	12029
184	226	12019
185	227	12011
186	228	12001
187	229	11996
188	230	11986
189	231	11976
190	232	11965
191	234	11958
192	235	11947
193	236	11939
194	237	11928
195	238	11923
196	239	11915
197	240	11905
198	241	11897
199	242	11891
200	243	11881
201	244	11871
202	245	11863
203	246	11855
204	248	11852
205	249	11845
206	250	11842
207	251	11840
208	252	11835
209	253	11828
210	254	11824
211	255	11819
212	257	11812
213	258	11805
214	259	11799
215	260	11790
216	261	11782
217	262	11773
218	263	11767
219	264	11760
220	265	11754
221	266	11746
222	267	11736
223	268	11731
224	269	11724
225	270	11718
226	271	11709
227	273	11702
228	274	11696
229	275	11689
230	276	11684
231	277	11675
232	278	11668
233	279	11661
234	280	11658
235	281	11652
236	282	11647
237	283	11640
238	284	11636
239	285	11628
240	287	11622
241	288	11617
242	289	11610
243	290	11604
244	291	11596
245	292	11589
246	293	11584
247	294	11578
248	295	11573
249	296	11565
250	297	11560
251	298	11553
252	299	11546
253	300	11540
254	301	11534
255	302	11528
256	303	11524
257	305	11519
258	306	11514
259	307	11508
260	308	11502
261	309	11495
262	310	11492
263	311	11486
264	312	11482
265	313	11476
266	314	11468
267	315	11461
268	316	11454
269	317	11449
270	318	11444
271	319	11440
272	320	11433
273	322	11431
274	323	11426
275	324	11420
276	325	11413
277	326	11407
278	327	11402
279	328	11397
280	329	11394
281	330	11387
282	331	11382
283	332	11376
284	333	11370
285	334	11367
286	335	11366
287	337	11364
288	338	11361
289	339	11359
290	340	11354
291	341	11350
292	342	11344
293	343	11339
294	344	11335
295	345	11332
296	346	11328
297	347	11323
298	348	11319
299	349	11315
300	351	11310
301	352	11305
302	353	11301
303	354	11296
304	355	11291
305	356	11287
306	357	11281
307	358	11277
308	359	11272
309	360	11266
310	361	11262
311	362	11259
312	363	11254
313	364	11250
314	365	11244
315	366	11241
316	367	11236
317	368	11231
318	369	11227
319	370	11221
320	372	11217
321	373	11215
322	374	11209
323	375	11204
324	376	11200
325	377	11198
326	378	11191
327	379	11186
328	380	11181
329	381	11177
330	382	11172
331	383	11171
332	384	11167
333	385	11162
334	386	11158
335	387	11154
336	388	11149
337	389	11144
338	390	11141
339	392	11139
340	393	11137
341	394	11141
342	395	11139
343	396	11136
344	397	11131
345	398	11127
346	399	11123
347	400	11120
348	402	11118
349	403	11114
350	404	11109
351	405	11105
352	406	11102
353	407	11099
354	408	11096
355	409	11093
356	410	11089
357	411	11085
358	412	11081
